Transaction_ID,Date,Region,Category,Product,Quantity,Unit_Price,Total_Sales
TXN-1001,2026-01-01,East,Books,Fiction Novel,8,303.34,2426.72
TXN-1002,2026-01-02,East,Clothing,Jacket,8,173.52,1388.16
TXN-1003,2026-01-03,North,Home & Kitchen,Blender,2,363.78,727.56
TXN-1004,2026-01-04,West,Clothing,Sneakers,5,312.57,1562.85
TXN-1005,2026-01-05,North,Clothing,Jeans,9,152.7,1374.3
TXN-1006,2026-01-06,South,Home & Kitchen,Air Fryer,3,197.41,592.23
TXN-1007,2026-01-07,North,Books,Cookbook,3,431.37,1294.11
TXN-1008,2026-01-08,East,Sports,Yoga Mat,2,474.95,949.9
TXN-1009,2026-01-09,South,Books,Tech Guide,9,17.82,160.38
TXN-1010,2026-01-10,West,Clothing,Sneakers,7,308.9,2162.3
TXN-1011,2026-01-11,North,Home & Kitchen,Blender,4,99.3,397.2
TXN-1012,2026-01-12,South,Books,Tech Guide,6,111.89,671.34
TXN-1013,2026-01-13,North,Books,Tech Guide,2,389.82,779.64
TXN-1014,2026-01-14,South,Clothing,Jeans,4,302.97,1211.88
TXN-1015,2026-01-15,South,Books,Fiction Novel,8,423.82,3390.56
TXN-1016,2026-01-16,East,Sports,Dumbbell Set,5,297.51,1487.55
TXN-1017,2026-01-17,West,Electronics,Smartwatch,9,155.17,1396.53
TXN-1018,2026-01-18,North,Sports,Yoga Mat,7,217.47,1522.29
TXN-1019,2026-01-19,West,Electronics,Smartwatch,8,16.9,135.2
TXN-1020,2026-01-20,West,Home & Kitchen,Coffee Maker,3,397.19,1191.57
TXN-1021,2026-01-21,South,Home & Kitchen,Coffee Maker,7,329.03,2303.21
TXN-1022,2026-01-22,North,Books,Biography,8,230.23,1841.84
TXN-1023,2026-01-23,East,Electronics,Smartwatch,7,337.73,2364.11
TXN-1024,2026-01-24,West,Sports,Bicycle,8,144.61,1156.88
TXN-1025,2026-01-25,East,Home & Kitchen,Coffee Maker,5,486.14,2430.7
TXN-1026,2026-01-26,North,Home & Kitchen,Coffee Maker,7,387.77,2714.39
TXN-1027,2026-01-27,East,Home & Kitchen,Coffee Maker,3,25.4,76.2
TXN-1028,2026-01-28,North,Electronics,Smartwatch,4,454.71,1818.84
TXN-1029,2026-01-29,East,Sports,Bicycle,4,472.0,1888.0
TXN-1030,2026-01-30,South,Home & Kitchen,Air Fryer,2,315.93,631.86
TXN-1031,2026-01-31,South,Electronics,Laptop,4,447.35,1789.4
TXN-1032,2026-02-01,South,Home & Kitchen,Cookware Set,7,449.08,3143.56
TXN-1033,2026-02-02,North,Electronics,Laptop,9,410.83,3697.47
TXN-1034,2026-02-03,East,Electronics,Headphones,6,260.27,1561.62
TXN-1035,2026-02-04,North,Electronics,Smartphone,1,68.73,68.73
TXN-1036,2026-02-05,East,Books,Cookbook,6,117.19,703.14
TXN-1037,2026-02-06,North,Electronics,Smartwatch,1,134.42,134.42
TXN-1038,2026-02-07,East,Books,Tech Guide,2,359.01,718.02
TXN-1039,2026-02-08,West,Sports,Yoga Mat,1,140.72,140.72
TXN-1040,2026-02-09,West,Clothing,Jeans,6,26.19,157.14
TXN-1041,2026-02-10,East,Electronics,Laptop,2,270.16,540.32
TXN-1042,2026-02-11,South,Clothing,Sneakers,7,339.35,2375.45
TXN-1043,2026-02-12,East,Home & Kitchen,Cookware Set,1,366.83,366.83
TXN-1044,2026-02-13,South,Sports,Running Shoes,6,205.42,1232.52
TXN-1045,2026-02-14,West,Electronics,Laptop,6,350.95,2105.7
TXN-1046,2026-02-15,West,Home & Kitchen,Cookware Set,4,18.13,72.52
TXN-1047,2026-02-16,East,Home & Kitchen,Air Fryer,4,326.13,1304.52
TXN-1048,2026-02-17,North,Books,Fiction Novel,8,199.5,1596.0
TXN-1049,2026-02-18,North,Clothing,Sneakers,9,65.6,590.4
TXN-1050,2026-02-19,East,Clothing,Jacket,9,263.15,2368.35
TXN-1051,2026-02-20,North,Electronics,Smartphone,5,451.2,2256.0
TXN-1052,2026-02-21,North,Home & Kitchen,Air Fryer,9,181.11,1629.99
TXN-1053,2026-02-22,West,Home & Kitchen,Cookware Set,6,392.14,2352.84
TXN-1054,2026-02-23,North,Books,Biography,8,394.82,3158.56
TXN-1055,2026-02-24,East,Books,Tech Guide,9,335.12,3016.08
TXN-1056,2026-02-25,West,Sports,Dumbbell Set,2,247.95,495.9
TXN-1057,2026-02-26,North,Home & Kitchen,Cookware Set,9,96.2,865.8
TXN-1058,2026-02-27,South,Books,Fiction Novel,5,97.62,488.1
TXN-1059,2026-02-28,West,Home & Kitchen,Coffee Maker,1,275.84,275.84
TXN-1060,2026-03-01,South,Home & Kitchen,Air Fryer,7,132.73,929.11
TXN-1061,2026-03-02,South,Sports,Bicycle,8,319.26,2554.08
TXN-1062,2026-03-03,South,Clothing,T-Shirt,1,292.68,292.68
TXN-1063,2026-03-04,West,Electronics,Laptop,3,290.28,870.84
TXN-1064,2026-03-05,North,Electronics,Smartwatch,5,442.91,2214.55
TXN-1065,2026-03-06,North,Books,Fiction Novel,8,172.07,1376.56
TXN-1066,2026-03-07,East,Sports,Bicycle,1,46.92,46.92
TXN-1067,2026-03-08,West,Sports,Yoga Mat,7,141.55,990.85
TXN-1068,2026-03-09,South,Home & Kitchen,Cookware Set,9,203.4,1830.6
TXN-1069,2026-03-10,West,Clothing,Jacket,8,112.37,898.96
TXN-1070,2026-03-11,East,Clothing,Jacket,2,168.05,336.1
